dt,channel,username,message
2021-04-27 18:31:16,loltyler1,pyhrohx,BRO NO ONE FAN BOYING OVER BOBBY LOL
2021-04-27 18:31:16,loltyler1,nerobear,PogChamp PogChamp PogChamp PogChamp
2021-04-27 18:31:17,loltyler1,elpachow,BigBrother  MY MAN
2021-04-27 18:31:17,loltyler1,raunosaul,JG DIFF KEKW .
2021-04-27 18:31:17,loltyler1,parvustitum,BigBrother EGO ?
2021-04-27 18:31:17,loltyler1,adnan13130,BARON !
2021-04-27 18:31:17,loltyler1,its_peter,Nice turrets lol
2021-04-27 18:31:18,loltyler1,its_lazuli,SUCKING TARZ COCK KEKW
2021-04-27 18:31:18,loltyler1,snrlx35,Tarzan MVP
2021-04-27 18:31:18,loltyler1,dr_devilcs,EGO IT BigBrother
2021-04-27 18:31:18,loltyler1,gtksp00ky,"tired and sick, not sick and tired"
2021-04-27 18:31:18,loltyler1,tamedturtles,@Macaiyla caiylaFlower
2021-04-27 18:31:19,loltyler1,adnan13130,XDDD
2021-04-27 18:31:19,loltyler1,abdellahtaikk,catJAM
2021-04-27 18:31:19,loltyler1,fofilein_,EZ LET EM KNOW EZ
2021-04-27 18:31:19,loltyler1,tranqfx,"bro, can you stop playing heimer, so he doesn't get nerfed again>? thanks"
2021-04-27 18:31:19,loltyler1,theonebilbo,HEIMERDINGER DIFF
2021-04-27 18:31:19,loltyler1,dabroyo69,Bobby is so cringe WeirdChamping
2021-04-27 18:31:19,loltyler1,crazykrai,BIG BOBBY
2021-04-27 18:31:20,loltyler1,silveredgebreak,BAROn at 18 EZ
2021-04-27 18:31:21,loltyler1,snickerzbarz,so toxic
2021-04-27 18:31:21,loltyler1,tungstenkitty,ACE BROOOOO
2021-04-27 18:31:22,loltyler1,wat2hex,!rank
2021-04-27 18:31:22,loltyler1,damajesticmango,I STG TT JUST DRAFTS BOB BC OF THE ENTERTAINMENT VALUE KEKW
2021-04-27 18:31:22,loltyler1,fossabot,"@Wat2Hex, ACCOUNTS: HULKSMASH1337 is currently Master I 124 LP"
2021-04-27 18:31:22,loltyler1,benpk34,BigBrother
2021-04-27 18:31:22,loltyler1,xicsor23,BAROOOOON
2021-04-27 18:31:22,loltyler1,proteragon,reset for what u have no item
2021-04-27 18:31:22,loltyler1,yourjustapizzadog,tt AYAYA
2021-04-27 18:31:23,loltyler1,julio123nitsh,XD
2021-04-27 18:31:23,loltyler1,youngnormie,BabyRage cant smite
2021-04-27 18:31:23,loltyler1,spedmow,BOBBY BigBrother
