id,dt,channel,username,message,neg,neu,pos,compound
62,5/1/2021 15:55,doublelift,knf_fistukia,nooo,0,1,0,0
63,5/1/2021 15:55,doublelift,southsideice,savage XDDDD,0.75,0.25,0,-0.4588
64,5/1/2021 15:56,doublelift,haveoneonmoi,Tarzanandd tho,0,1,0,0
65,5/1/2021 15:56,doublelift,cursedwang,dodge abuse ResidentSleeper,0.677,0.323,0,-0.6369
66,5/1/2021 15:56,doublelift,theinvisibleem,Will you stream val?,0,1,0,0
67,5/1/2021 15:56,doublelift,graypanda666xxx,bro he expected anivia vayne strats,0,1,0,0
68,5/1/2021 15:56,doublelift,mrclutch231,U had tarzaned,0,1,0,0
69,5/1/2021 15:56,doublelift,ibrisky,how fast can you type,0,1,0,0
70,5/1/2021 15:56,doublelift,brando_reed44,Speaking of troll support picks lol,0,0.421,0.579,0.6705
71,5/1/2021 15:56,doublelift,doublelift_worshipper,gotta abuse the dodges ppl SMILERS,0.457,0.543,0,-0.6369
72,5/1/2021 15:56,doublelift,dextroslol,riot matchmaking KEKW,0.643,0.357,0,-0.5574
73,5/1/2021 15:56,doublelift,vinniefino,@LoLGmork how is it pathetic?,0.481,0.519,0,-0.5719
74,5/1/2021 15:56,doublelift,topdrogon,Wait anivia support is so good with kaisa lmao,0,0.38,0.62,0.8687
75,5/1/2021 15:56,doublelift,adhdisco_,@Doublelift he might've been dup queue abuser,0.375,0.625,0,-0.5574
76,5/1/2021 15:56,doublelift :dodge to keep MMR,floady,) rekkles miky duo like that,0,0.667,0.333,0.3612
77,5/1/2021 15:56,doublelift,sploobie,pepeD,0,1,0,0
78,5/1/2021 15:56,doublelift,n1allen,samsung 2016 Smoge,0,1,0,0
79,5/1/2021 15:56,doublelift,allmightpoggers,D:,0,0,1,0.296
80,5/1/2021 15:56,doublelift,sadsadsac,Pathetic is playing aniv support,0.363,0.196,0.441,-0.0516
81,5/1/2021 15:56,doublelift,canbeshown,d1 anivia = challenger any other sup,0,0.8,0.2,0.128
82,5/1/2021 15:56,doublelift,pocketrhinolol,LOL,0,0,1,0.4215
83,5/1/2021 15:56,doublelift,zer0_x,KEKW,0,1,0,0
84,5/1/2021 15:56,doublelift,southsideice,lmaooooo,0,1,0,0
85,5/1/2021 15:56,doublelift,mikennoes,idk I don't think Anivia supp is troll,0.167,0.833,0,-0.1027
86,5/1/2021 15:56,doublelift,legionxiix,BIGTARZANFAN I read that as jacksepticeye and gave myself whiplash,0,1,0,0
87,5/1/2021 15:56,doublelift,staypuft609,dont think chat realizes what a d1 supp is compared to high chally lol],0,0.823,0.177,0.4215
88,5/1/2021 15:56,doublelift,nsbenzo33ss,@Doublelift anivia is so good with kaisa man,0,0.652,0.348,0.5777
89,5/1/2021 15:56,doublelift,zzstarlight4,TRUE KEKW,0,0.263,0.737,0.4215
90,5/1/2021 15:56,doublelift,doublelift_worshipper,he somehow has a god mmr i guess,0,0.769,0.231,0.2732
91,5/1/2021 15:56,doublelift,a_champ17,@Doublelift region too small,0,1,0,0
92,5/1/2021 15:56,doublelift,moraaaad01,TRUE,0,0,1,0.4215
93,5/1/2021 15:56,doublelift,flooo99ooo,rekkles is diamond 1,0,0.556,0.444,0.34
94,5/1/2021 15:56,doublelift,southsideice,tarzaned beef,0,1,0,0
95,5/1/2021 15:56,doublelift,mw_manuste,!music,0,1,0,0
96,5/1/2021 15:56,doublelift,cooking_wizard,up and coming challenger player,0,0.727,0.273,0.128
97,5/1/2021 15:56,doublelift,vinniefino,@LoLGmork would you get shit on for 15 minutes and lose lp for free?,0.306,0.534,0.16,-0.4588
98,5/1/2021 15:56,doublelift,mrshinobitoor,@flooo99ooo he is purposely there to duo,0,1,0,0
99,5/1/2021 15:56,doublelift,mw_manuste,!song,0,1,0,0
100,5/1/2021 15:56,doublelift,nsbenzo33ss,@topdrogon yes idk why he dodge but yeah she is dq,0.087,0.578,0.336,0.5346
101,5/1/2021 15:56,doublelift,budgetlunge,fanboys KEKW,0,1,0,0
102,5/1/2021 15:56,doublelift,kdrama,yo bird is insanely good bro,0,0.633,0.367,0.4404
103,5/1/2021 15:57,doublelift,cronktheboy,"rekkles is dodging promos so he can duo with Miky,this here is just riots matchmaking",0.266,0.734,0,-0.5719
104,5/1/2021 15:57,doublelift,thereailebronjames,did you anivias wr?,0,1,0,0
105,5/1/2021 15:57,doublelift,fourofdiamonds1,Not enough people playing,0.347,0.653,0,-0.1511
106,5/1/2021 15:57,doublelift,swoleteemo,not enough players,0,1,0,0
107,5/1/2021 15:57,doublelift,thefoxninja17,Is there any ADC you think could use a gameplay update?,0,1,0,0
108,5/1/2021 15:57,doublelift,pyrrhanikosfan123,Tarzan is so toxic,0,1,0,0
109,5/1/2021 15:57,doublelift,topdrogon,@kdrama tell em,0,1,0,0
110,5/1/2021 15:57,doublelift :you having a good day today mr plug?,theaveragegoat,),0,1,0,0
111,5/1/2021 15:57,doublelift,doublelift_worshipper,dodge your way to high mmr @Doublelift,0,1,0,0
